time_alvo,ano,jogo,home_or_away,home_team,away_team,stadium,tournament,home_score,away_score,home_manager,away_manager,player_name,player_number,player_position,player_sub,player_captain,statistics_total_pass,statistics_accurate_pass,statistics_total_long_balls,statistics_accurate_long_balls,statistics_duel_won,statistics_total_clearance,statistics_was_fouled,statistics_saved_shots_from_inside_the_box,statistics_saves,statistics_minutes_played,statistics_touches,statistics_rating,statistics_possession_lost_ctrl,statistics_total_cross,statistics_accurate_cross,statistics_aerial_lost,statistics_duel_lost,statistics_total_contest,statistics_won_contest,statistics_interception_won,statistics_fouls,statistics_key_pass,statistics_aerial_won,statistics_challenge_lost,statistics_total_tackle,statistics_outfielder_block,statistics_dispossessed,statistics_on_target_scoring_attempt,statistics_goals,statistics_shot_off_target,statistics_total_keeper_sweeper,statistics_accurate_keeper_sweeper,statistics_goal_assist,statistics_big_chance_created,statistics_total_offside,statistics_good_high_claim,statistics_error_lead_to_a_shot,statistics_own_goals,statistics_expected_goals,statistics_expected_assists,statistics_blocked_scoring_attempt,statistics_big_chance_missed,statistics_hit_woodwork,statistics_penalty_miss,statistics_penalty_conceded,statistics_penalty_won,statistics_punches,statistics_goals_prevented,statistics_last_man_tackle,statistics_clearance_off_line,statistics_error_lead_to_a_goal,statistics_penalty_shootout_save,statistics_penalty_shootout_goal,statistics_penalty_shootout_miss,statistics_penalty_save
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Gustavo Martins,53,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Bruno Uvini,15,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Lucas Silva,16,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Isaque,38,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Guilherme,11,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Gabriel Silva,59,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Brenno,1,G,FALSE,NA,14,14,0,0,0,1,0,1,2,90,16,7.2,1,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,1,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Fábio,2,D,FALSE,NA,45,41,1,1,4,1,0,NA,NA,82,54,7.7,9,7,6,1,6,4,4,2,1,3,0,0,0,0,NA,0,0,0,NA,NA,0,NA,0,NA,0,0,0,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Bruno Alves,34,D,FALSE,NA,49,45,3,3,7,1,2,NA,NA,90,56,7.3,6,1,0,5,14,0,0,3,4,NA,2,0,0,1,NA,0,0,0,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Walter Kannemann,4,D,FALSE,TRUE,53,49,3,1,9,1,0,NA,NA,90,62,7.1,7,0,0,2,12,0,0,1,3,NA,5,2,0,0,NA,0,0,3,NA,NA,0,NA,0,NA,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Reinaldo,22,D,FALSE,NA,43,34,0,0,5,2,0,NA,NA,82,52,7.1,10,4,0,0,10,1,1,2,1,2,2,1,0,0,NA,0,0,1,NA,NA,0,NA,0,NA,0,0,0,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Felipe Carballo,8,M,FALSE,NA,53,47,2,1,1,0,0,NA,NA,56,63,7.1,9,1,0,0,4,2,1,3,0,NA,0,0,0,0,NA,0,0,0,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Pepê,23,M,FALSE,NA,74,68,8,4,9,0,5,NA,NA,82,98,7.3,10,0,0,4,13,1,1,NA,2,1,1,1,0,0,2,1,0,1,NA,NA,0,NA,0,NA,0,0,0.02,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Everton Galdino,13,M,FALSE,NA,32,27,0,0,9,0,2,NA,NA,66,49,7.2,10,2,1,2,11,5,4,NA,2,1,1,0,0,0,NA,0,0,2,NA,NA,0,NA,0,NA,0,0,0.01,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Bitello,39,M,FALSE,NA,71,65,2,1,11,0,3,NA,NA,90,91,7.4,10,0,0,0,10,1,1,1,1,1,2,1,0,0,1,1,0,0,NA,NA,0,NA,1,NA,0,0,0.07,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Ferreira,10,M,FALSE,NA,47,36,2,2,11,0,1,NA,NA,90,84,8.5,16,2,1,1,24,14,6,1,3,6,2,1,0,0,NA,0,0,5,NA,NA,1,1,0,NA,0,0,0.11,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Luis Suárez,9,F,FALSE,NA,26,19,2,1,6,0,2,NA,NA,90,40,7.9,10,0,0,3,10,5,4,1,1,1,1,0,0,0,2,1,1,2,NA,NA,0,NA,0,NA,0,0,0.6,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Franco Cristaldo,19,M,TRUE,NA,48,42,4,3,1,0,1,NA,NA,50,57,7.4,7,2,0,0,3,0,0,1,1,NA,0,1,0,0,NA,0,0,1,NA,NA,0,NA,0,NA,0,0,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Gustavinho,17,M,TRUE,NA,25,20,0,0,4,0,0,NA,NA,40,36,7.1,4,4,0,1,4,3,3,NA,0,NA,0,0,0,0,NA,1,0,0,NA,NA,0,NA,0,NA,0,0,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Diogo Barbosa,6,D,TRUE,NA,13,9,0,0,1,0,0,NA,NA,25,13,6.3,2,3,0,0,2,0,0,NA,1,NA,1,0,0,0,NA,0,0,0,NA,NA,0,NA,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Diego Souza,29,F,TRUE,NA,10,10,0,0,1,1,0,NA,NA,25,15,6.6,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Thaciano,28,D,TRUE,NA,15,14,1,0,4,1,0,NA,NA,25,17,6.8,3,0,0,0,0,0,0,NA,0,NA,2,0,0,0,NA,0,0,0,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Adriel,31,G,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Gustavo Martins,53,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Thiago Santos,5,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Bruno Uvini,15,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Mathias Villasanti,20,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Lucas Silva,16,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,3,home,Grêmio,Grêmio Esportivo Brasil,Arena do Grêmio,Gaúcho,1,0,Renato Portaluppi,Marcelo Fidelcino Caranhato,Guilherme,11,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,4,away,São José,Grêmio,Estadio do Passo d'Areia,Gaúcho,0,1,Rogério Zimmermann,Renato Portaluppi,Gabriel Grando,12,G,FALSE,NA,16,12,8,4,2,0,2,1,2,90,20,7.4,10,0,0,0,0,0,0,1,0,NA,2,0,0,0,NA,0,0,0,2,0,0,NA,0,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,4,away,São José,Grêmio,Estadio do Passo d'Areia,Gaúcho,0,1,Rogério Zimmermann,Renato Portaluppi,Thaciano,28,D,FALSE,NA,22,16,5,3,8,4,0,NA,NA,75,38,7.6,7,1,0,2,12,5,3,5,2,1,3,0,0,1,NA,0,0,1,NA,NA,0,NA,0,NA,0,0,0.01,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,4,away,São José,Grêmio,Estadio do Passo d'Areia,Gaúcho,0,1,Rogério Zimmermann,Renato Portaluppi,Gustavo Martins,53,D,FALSE,NA,50,35,20,9,10,6,3,NA,NA,90,63,7.6,18,0,0,2,7,0,0,1,3,NA,4,0,0,0,NA,0,0,1,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,4,away,São José,Grêmio,Estadio do Passo d'Areia,Gaúcho,0,1,Rogério Zimmermann,Renato Portaluppi,Bruno Uvini,15,D,FALSE,NA,27,20,2,1,14,5,2,NA,NA,90,32,7.6,9,0,0,1,5,0,0,1,0,NA,2,1,1,0,NA,0,0,1,NA,NA,0,NA,0,NA,0,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,4,away,São José,Grêmio,Estadio do Passo d'Areia,Gaúcho,0,1,Rogério Zimmermann,Renato Portaluppi,Diogo Barbosa,6,D,FALSE,NA,28,23,3,2,12,7,2,NA,NA,90,37,7.4,10,1,0,2,9,1,0,3,0,NA,3,1,0,1,NA,0,0,0,NA,NA,0,NA,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,4,away,São José,Grêmio,Estadio do Passo d'Areia,Gaúcho,0,1,Rogério Zimmermann,Renato Portaluppi,Lucas Silva,16,M,FALSE,NA,39,34,3,2,12,1,4,NA,NA,90,56,7.6,8,0,0,1,12,1,1,7,4,1,5,1,0,0,NA,0,0,0,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,4,away,São José,Grêmio,Estadio do Passo d'Areia,Gaúcho,0,1,Rogério Zimmermann,Renato Portaluppi,Mathias Villasanti,20,M,FALSE,NA,37,34,3,2,5,1,1,NA,NA,88,45,7.1,5,0,0,0,10,1,1,5,2,NA,2,1,0,0,NA,0,0,0,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
