time_alvo,ano,jogo,home_or_away,home_team,away_team,stadium,tournament,home_score,away_score,home_manager,away_manager,player_name,player_number,player_position,player_sub,player_captain,statistics_total_pass,statistics_accurate_pass,statistics_total_long_balls,statistics_accurate_long_balls,statistics_duel_won,statistics_total_clearance,statistics_was_fouled,statistics_saves,statistics_minutes_played,statistics_touches,statistics_rating,statistics_possession_lost_ctrl,statistics_total_cross,statistics_accurate_cross,statistics_aerial_lost,statistics_duel_lost,statistics_total_contest,statistics_won_contest,statistics_interception_won,statistics_fouls,statistics_key_pass,statistics_aerial_won,statistics_challenge_lost,statistics_total_tackle,statistics_blocked_scoring_attempt,statistics_outfielder_block,statistics_dispossessed,statistics_on_target_scoring_attempt,statistics_goals,statistics_shot_off_target,statistics_punches,statistics_total_keeper_sweeper,statistics_accurate_keeper_sweeper,statistics_goal_assist,statistics_big_chance_created,statistics_total_offside,statistics_saved_shots_from_inside_the_box,statistics_big_chance_missed,statistics_penalty_won,statistics_good_high_claim,statistics_hit_woodwork,statistics_penalty_conceded,statistics_penalty_save,statistics_penalty_shootout_save,statistics_penalty_shootout_goal,statistics_penalty_shootout_miss,statistics_penalty_miss,statistics_error_lead_to_a_shot,statistics_last_man_tackle,statistics_clearance_off_line,statistics_own_goals,statistics_error_lead_to_a_goal,statistics_expected_goals,statistics_goals_prevented,statistics_expected_assists
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Antônio Carlos,25,D,FALSE,NA,50,45,4,2,1,1,NA,NA,90,56,7.3,6,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Edu Dracena,3,D,FALSE,NA,62,56,8,3,4,1,1,NA,90,68,7.2,6,NA,NA,1,2,NA,NA,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Victor Luis,26,D,FALSE,NA,49,46,3,2,2,3,2,NA,90,75,7.1,6,2,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Bruno Henrique,19,M,FALSE,TRUE,78,73,8,5,3,1,1,NA,90,92,6.5,7,1,NA,1,8,NA,NA,2,3,1,1,4,1,1,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Thiago Santos,5,M,FALSE,NA,38,31,3,1,8,2,NA,NA,90,45,6.9,7,NA,NA,1,3,NA,NA,NA,2,NA,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Zé Rafael,8,M,FALSE,NA,28,22,NA,NA,5,1,NA,NA,62,42,6.8,9,NA,NA,NA,5,2,1,1,1,1,2,2,2,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Gustavo Scarpa,14,M,FALSE,NA,35,27,5,1,10,NA,4,NA,70,55,7.5,14,5,3,NA,3,5,4,NA,2,3,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Dudu,7,M,FALSE,NA,25,20,1,NA,6,NA,2,NA,45,39,7.1,11,4,1,NA,3,3,2,NA,1,2,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Deyverson,16,F,FALSE,NA,18,11,NA,NA,14,1,4,NA,90,36,8,8,NA,NA,3,3,2,2,NA,2,NA,7,NA,1,2,NA,NA,3,1,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Carlos Eduardo,37,M,TRUE,NA,16,10,NA,NA,6,NA,1,NA,45,30,7.1,10,NA,NA,1,3,4,4,2,2,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Lucas Lima,20,M,TRUE,NA,10,9,NA,NA,1,NA,1,NA,28,18,6.6,4,2,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Felipe Melo,30,M,TRUE,NA,6,5,1,NA,NA,NA,NA,NA,20,8,6.3,2,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Jailson,42,G,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Weverton,21,G,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Gustavo Gómez,15,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Diogo Barbosa,6,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Luan Garcia,13,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Mayke,12,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Felipe Pires,27,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Moisés,10,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Miguel Borja,9,F,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,3,away,São Caetano,Palmeiras,Anacleto Campanella,Paulista Série A1,0,2,Edson Vieira,Abel Ferreira,Jailson,42,G,FALSE,NA,15,8,10,3,1,1,NA,2,90,22,7.4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,3,away,São Caetano,Palmeiras,Anacleto Campanella,Paulista Série A1,0,2,Edson Vieira,Abel Ferreira,Mayke,12,D,FALSE,NA,46,41,3,3,5,3,1,NA,90,66,7,10,1,NA,1,4,NA,NA,2,2,NA,3,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,3,away,São Caetano,Palmeiras,Anacleto Campanella,Paulista Série A1,0,2,Edson Vieira,Abel Ferreira,Luan Garcia,13,D,FALSE,NA,46,41,7,3,3,4,1,NA,90,57,7.7,6,NA,NA,NA,4,NA,NA,1,2,NA,NA,1,2,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,3,away,São Caetano,Palmeiras,Anacleto Campanella,Paulista Série A1,0,2,Edson Vieira,Abel Ferreira,Gustavo Gómez,15,D,FALSE,NA,39,34,5,1,4,4,1,NA,90,52,7.2,7,NA,NA,1,3,NA,NA,3,3,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,3,away,São Caetano,Palmeiras,Anacleto Campanella,Paulista Série A1,0,2,Edson Vieira,Abel Ferreira,Diogo Barbosa,6,D,FALSE,NA,40,31,5,1,7,2,1,NA,90,57,7.4,12,NA,NA,1,4,NA,NA,NA,2,1,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,3,away,São Caetano,Palmeiras,Anacleto Campanella,Paulista Série A1,0,2,Edson Vieira,Abel Ferreira,Felipe Melo,30,M,FALSE,TRUE,45,38,4,3,4,1,NA,NA,90,51,6.8,8,NA,NA,2,6,1,1,2,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,3,away,São Caetano,Palmeiras,Anacleto Campanella,Paulista Série A1,0,2,Edson Vieira,Abel Ferreira,Moisés,10,M,FALSE,NA,24,20,6,4,1,NA,NA,NA,62,30,6.8,4,NA,NA,NA,2,NA,NA,2,2,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
