time_alvo,ano,jogo,home_or_away,home_team,away_team,stadium,tournament,home_score,away_score,home_manager,away_manager,player_name,player_number,player_position,player_sub,player_captain,statistics_total_pass,statistics_accurate_pass,statistics_total_long_balls,statistics_accurate_long_balls,statistics_duel_won,statistics_total_clearance,statistics_was_fouled,statistics_saved_shots_from_inside_the_box,statistics_saves,statistics_minutes_played,statistics_touches,statistics_rating,statistics_possession_lost_ctrl,statistics_total_cross,statistics_accurate_cross,statistics_aerial_lost,statistics_duel_lost,statistics_total_contest,statistics_won_contest,statistics_interception_won,statistics_fouls,statistics_key_pass,statistics_aerial_won,statistics_challenge_lost,statistics_total_tackle,statistics_blocked_scoring_attempt,statistics_outfielder_block,statistics_dispossessed,statistics_on_target_scoring_attempt,statistics_goals,statistics_shot_off_target,statistics_goal_assist,statistics_total_offside,statistics_hit_woodwork,statistics_punches,statistics_total_keeper_sweeper,statistics_accurate_keeper_sweeper,statistics_big_chance_created,statistics_big_chance_missed,statistics_error_lead_to_a_goal,statistics_penalty_won,statistics_penalty_miss,statistics_good_high_claim,statistics_penalty_conceded,statistics_penalty_save,statistics_penalty_shootout_goal,statistics_clearance_off_line,statistics_error_lead_to_a_shot,statistics_last_man_tackle,statistics_penalty_shootout_save,statistics_expected_goals,statistics_goals_prevented,statistics_expected_assists,statistics_penalty_shootout_miss,statistics_own_goals
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Ramiro,8,M,TRUE,NA,25,22,3,1,2,NA,NA,NA,NA,45,28,6.2,5,NA,NA,NA,5,1,NA,1,3,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Léo Natel,18,M,TRUE,NA,10,5,1,NA,2,1,1,NA,NA,45,21,6.5,8,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Everaldo,37,M,TRUE,NA,3,2,NA,NA,1,NA,NA,NA,NA,19,6,6.2,3,1,NA,NA,3,2,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Xavier,39,M,TRUE,NA,4,3,NA,NA,1,NA,NA,NA,NA,19,8,6.6,3,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Walter,27,G,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Michel Macedo,2,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Marllon,25,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Bruno Méndez,14,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Raul Gustavo,34,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Guilherme Camacho,20,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Gabriel Pereira,38,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Luan,7,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,3,home,Corinthians,Sport Recife,Neo Química Arena,Brasileirão Série A,3,0,Ramón Díaz,Pepa,Cássio,12,G,FALSE,TRUE,24,18,10,4,1,1,NA,2,4,90,40,7.9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,3,home,Corinthians,Sport Recife,Neo Química Arena,Brasileirão Série A,3,0,Ramón Díaz,Pepa,Fagner,23,D,FALSE,NA,58,50,7,5,2,4,NA,NA,NA,90,84,7.6,16,5,2,1,1,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,3,home,Corinthians,Sport Recife,Neo Química Arena,Brasileirão Série A,3,0,Ramón Díaz,Pepa,Bruno Méndez,14,D,FALSE,NA,56,48,4,4,5,NA,NA,NA,NA,90,62,7.5,8,NA,NA,2,4,NA,NA,3,1,1,4,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,3,home,Corinthians,Sport Recife,Neo Química Arena,Brasileirão Série A,3,0,Ramón Díaz,Pepa,Jemerson,3,D,FALSE,NA,42,35,4,2,7,2,NA,NA,NA,85,50,7.1,7,NA,NA,2,2,NA,NA,2,NA,NA,6,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,3,home,Corinthians,Sport Recife,Neo Química Arena,Brasileirão Série A,3,0,Ramón Díaz,Pepa,Fábio Santos,26,D,FALSE,NA,51,41,2,1,6,2,1,NA,NA,90,75,7.2,14,3,1,NA,3,NA,NA,NA,1,1,2,1,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,3,home,Corinthians,Sport Recife,Neo Química Arena,Brasileirão Série A,3,0,Ramón Díaz,Pepa,Ramiro,8,M,FALSE,NA,55,48,10,5,5,1,NA,NA,NA,74,72,7,11,3,1,4,8,2,2,2,1,2,1,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
